Date,No. of Visitors,Special Day,Weekday Name
1/1/2021,800,New Year's Day,Friday
1/2/2021,700,None,Saturday
1/3/2021,900,None,Sunday
1/4/2021,400,None,Monday
1/5/2021,300,None,Tuesday
1/6/2021,600,None,Wednesday
1/7/2021,500,None,Thursday
1/8/2021,850,None,Friday
1/9/2021,750,None,Saturday
1/10/2021,950,None,Sunday
1/11/2021,420,None,Monday
1/12/2021,320,None,Tuesday
1/13/2021,620,Lohri,Wednesday
1/14/2021,520,Makar Sankranti,Thursday
1/15/2021,880,Pongal,Friday
1/16/2021,780,None,Saturday
1/17/2021,960,None,Sunday
1/18/2021,430,None,Monday
1/19/2021,330,None,Tuesday
1/20/2021,630,Guru Gobind Singh Jayanti,Wednesday
1/21/2021,530,None,Thursday
1/22/2021,890,None,Friday
1/23/2021,790,Netaji Subhas Chandra Bose Jayanti,Saturday
1/24/2021,970,None,Sunday
1/25/2021,440,None,Monday
1/26/2021,340,Republic Day,Tuesday
1/27/2021,640,None,Wednesday
1/28/2021,540,None,Thursday
1/29/2021,900,None,Friday
1/30/2021,800,None,Saturday
1/31/2021,980,None,Sunday
2/1/2021,420,None,Monday
2/2/2021,200,None,Tuesday
2/3/2021,600,None,Wednesday
2/4/2021,500,None,Thursday
2/5/2021,850,None,Friday
2/6/2021,750,None,Saturday
2/7/2021,950,None,Sunday
2/8/2021,430,None,Monday
2/9/2021,210,None,Tuesday
2/10/2021,620,None,Wednesday
2/11/2021,520,None,Thursday
2/12/2021,880,None,Friday
2/13/2021,780,None,Saturday
2/14/2021,960,Valentine's Day,Sunday
2/15/2021,440,None,Monday
2/16/2021,220,None,Tuesday
2/17/2021,630,None,Wednesday
2/18/2021,530,None,Thursday
2/19/2021,890,None,Friday
2/20/2021,790,None,Saturday
2/21/2021,970,None,Sunday
2/22/2021,450,None,Monday
2/23/2021,230,None,Tuesday
2/24/2021,640,None,Wednesday
2/25/2021,540,None,Thursday
2/26/2021,900,None,Friday
2/27/2021,800,None,Saturday
2/28/2021,980,None,Sunday
3/1/2021,430,None,Monday
3/2/2021,220,None,Tuesday
3/3/2021,600,None,Wednesday
3/4/2021,500,None,Thursday
3/5/2021,850,None,Friday
3/6/2021,750,None,Saturday
3/7/2021,950,None,Sunday
3/8/2021,440,None,Monday
3/9/2021,230,None,Tuesday
3/10/2021,620,None,Wednesday
3/11/2021,520,Maha Shivaratri,Thursday
3/12/2021,880,None,Friday
3/13/2021,780,None,Saturday
3/14/2021,960,None,Sunday
3/15/2021,450,None,Monday
3/16/2021,240,None,Tuesday
3/17/2021,630,None,Wednesday
3/18/2021,530,None,Thursday
3/19/2021,890,None,Friday
3/20/2021,790,None,Saturday
3/21/2021,970,None,Sunday
3/22/2021,460,None,Monday
3/23/2021,250,Martyrs' Day,Tuesday
3/24/2021,640,None,Wednesday
3/25/2021,540,None,Thursday
3/26/2021,900,None,Friday
3/27/2021,800,None,Saturday
3/28/2021,980,Holika Dahan,Sunday
3/29/2021,480,Holi,Monday
3/30/2021,260,None,Tuesday
3/31/2021,650,None,Wednesday
4/1/2021,550,None,Thursday
4/2/2021,900,Good Friday,Friday
4/3/2021,800,None,Saturday
4/4/2021,980,Easter Sunday,Sunday
4/5/2021,470,None,Monday
4/6/2021,250,None,Tuesday
4/7/2021,660,None,Wednesday
4/8/2021,560,None,Thursday
4/9/2021,910,None,Friday
4/10/2021,810,None,Saturday
4/11/2021,990,None,Sunday
